smp_pnt_files;caaml_files;manual_edit
S36M0029.pnt;5wj-20151130_niViz6_81339.caaml;yes
S36M0030.pnt;5wj-20151130_niViz6_81339.caaml;yes
S36M0031.pnt;5wj-20151130_niViz6_81339.caaml;yes
S36M0032.pnt;5wj-20151130_niViz6_81339.caaml;yes
S36M0033.pnt;5wj-20151130_niViz6_81339.caaml;yes
S36M0117.pnt;5wj-20151214_niViz6_81396.caaml;yes
S36M0118.pnt;5wj-20151214_niViz6_81396.caaml;yes
S36M0119.pnt;5wj-20151214_niViz6_81396.caaml;yes
S36M0120.pnt;5wj-20151214_niViz6_81396.caaml;yes
S36M0121.pnt;5wj-20151214_niViz6_81396.caaml;yes
S36M0232.pnt;5wj-20151229_niViz6_81468.caaml;yes
S36M0233.pnt;5wj-20151229_niViz6_81468.caaml;yes
S36M0234.pnt;5wj-20151229_niViz6_81468.caaml;yes
S36M0236.pnt;5wj-20151229_niViz6_81468.caaml;yes
S36M0237.pnt;5wj-20151229_niViz6_81468.caaml;yes
S36M0335.pnt;5wj-20160113_niViz6_81563.caaml;yes
S36M0336.pnt;5wj-20160113_niViz6_81563.caaml;yes
S36M0337.pnt;5wj-20160113_niViz6_81563.caaml;yes
S36M0338.pnt;5wj-20160113_niViz6_81563.caaml;yes
S36M0339.pnt;5wj-20160113_niViz6_81563.caaml;yes
S36M0382.pnt;5wj-20160119_niViz6_81656.caaml;yes
S36M0383.pnt;5wj-20160119_niViz6_81656.caaml;yes
S36M0384.pnt;5wj-20160119_niViz6_81656.caaml;yes
S36M0385.pnt;5wj-20160119_niViz6_81656.caaml;yes
S36M0386.pnt;5wj-20160119_niViz6_81656.caaml;yes
S36M0442.pnt;5wj-20160127_niViz6_81724.caaml;yes
S36M0443.pnt;5wj-20160127_niViz6_81724.caaml;yes
S36M0444.pnt;5wj-20160127_niViz6_81724.caaml;yes
S36M0445.pnt;5wj-20160127_niViz6_81724.caaml;yes
S36M0446.pnt;5wj-20160127_niViz6_81724.caaml;yes
S36M0560.pnt;5wj-20160210_niViz6_81822.caaml;yes
S36M0561.pnt;5wj-20160210_niViz6_81822.caaml;yes
S36M0563.pnt;5wj-20160210_niViz6_81822.caaml;yes
S36M0564.pnt;5wj-20160210_niViz6_81822.caaml;yes
S36M0736.pnt;5wj-20160224_niViz6_81982.caaml;yes
S36M0737.pnt;5wj-20160224_niViz6_81982.caaml;yes
S36M0738.pnt;5wj-20160224_niViz6_81982.caaml;yes
S36M0739.pnt;5wj-20160224_niViz6_81982.caaml;yes
S36M0740.pnt;5wj-20160224_niViz6_81982.caaml;yes
S36M0785.pnt;5wj-20160302_niViz6_82072.caaml;yes
S36M0786.pnt;5wj-20160302_niViz6_82072.caaml;yes
S36M0787.pnt;5wj-20160302_niViz6_82072.caaml;yes
S36M0788.pnt;5wj-20160302_niViz6_82072.caaml;yes
S36M0789.pnt;5wj-20160302_niViz6_82072.caaml;yes
S36M0827.pnt;5wj-20160308_niViz6_82093.caaml;yes
S36M0828.pnt;5wj-20160308_niViz6_82093.caaml;yes
S36M0829.pnt;5wj-20160308_niViz6_82093.caaml;yes
S36M0830.pnt;5wj-20160308_niViz6_82093.caaml;yes
S36M0831.pnt;5wj-20160308_niViz6_82093.caaml;yes
S36M0881.pnt;5wj-20160315_niViz6_82179.caaml;yes
S36M0882.pnt;5wj-20160315_niViz6_82179.caaml;yes
S36M0883.pnt;5wj-20160315_niViz6_82179.caaml;yes
S36M0884.pnt;5wj-20160315_niViz6_82179.caaml;yes
S36M0885.pnt;5wj-20160315_niViz6_82179.caaml;yes
